pattern,found
"$xmlTag = ""UniqueID"";",no
$strAdId,yes
"$xmlTag = ""PostDate"";",no
$strDeathNoticeDate,no
"$xmlTag = ""EndDate"";",no
$strStopDate,no
"$xmlTag = ""NoticeType"";",no
$strNoticeType,yes
"$xmlTag = ""Email"";",no
$strEmail,yes
"$xmlTag = ""Email"";",no
$strEmail,yes
"$xmlTag = ""FuneralHome"";",no
$strFuneralHome,no
"$xmlTag = ""FuneralHomeAddress"";",no
$strFuneralHomeAddr,no
"$xmlTag = ""FuneralHomeCity"";",no
$strFuneralHomeCity,no
"$xmlTag = ""Notice"";",no
$strDeathNotice,no
"$xmlTag = ""fullname"";",no
$strDeathNoticeName,no
"$xmlTag = ""City"";",no
$strCity,yes
"$xmlTag = ""State"";",no
$strState,yes
"$xmlTag = ""DateBorn"";",no
$strYearBorn,no
"$xmlTag = ""DateDeceased"";",no
$strYearDeceased,no
"$xmlTag = ""Spotlight"";",no
$intShowInSpotlight,no
"$xmlTag = ""DateDeceased"";",no
$strDateOfDeath,no
